Customer Segment,RFM_score,F_quartile,R_quartile,M_quartile,Total Paid,last-to-present,Order ID,Units Sold
Normal,432,3,4,2,899320.4,1207,182093513,4372
High paying customer,231,3,2,1,2039838.15,153,930670154,4835
Normal,424,2,4,4,69844.38,870,155914723,7486
Normal,424,2,4,4,252813.6,1572,105623948,5328
Normal,432,3,4,2,974403.76,1162,767076432,3817
"Once Loyal, Now Gone",443,4,4,3,278447.4,2074,616755998,660
Normal,423,2,4,3,301212.6,1298,714165675,6348
Normal,424,2,4,4,50587.26,1131,669353473,5422
Loyal custommer,114,1,1,4,87450.09,78,613845479,9373
High paying customer,411,1,4,1,6414723.73,2615,982220065,9599
Loyal custommer,412,1,4,2,1240183,398,650810182,8050
Normal,433,3,4,3,767835.04,2332,765661084,4984
Normal,433,3,4,3,776000.22,566,700069701,5037
Normal,423,2,4,3,527485.42,672,774012839,6454
Normal,244,4,2,4,22615.92,177,688301026,2424
"Once Loyal, Now Gone",443,4,4,3,624510.39,1346,227262771,959
Normal,432,3,4,2,1046190.2,1269,907691991,5086
Normal,342,4,3,2,1518977.71,362,591383159,2273
"Once Loyal, Now Gone",442,4,4,2,1156775.37,2179,538698565,1731
Normal,422,2,4,2,975045.74,679,594539582,6329
Normal,422,2,4,2,1118596.6,2469,856328332,5438
Normal,344,4,3,4,101770.86,235,253349721,667
Loyal custommer,412,1,4,2,1366358.14,2302,842687690,8869
Normal,133,3,1,3,493289.92,17,407930362,4514
Churn customer,444,4,4,4,255665.34,2072,198537814,606
Churn customer,444,4,4,4,120306.56,801,291470563,1472
Loyal custommer,414,1,4,4,81684.15,863,505808246,8755
Normal,433,3,4,3,508284.7,2106,893557822,2471
"Once Loyal, Now Gone",443,4,4,3,288552,577,359424865,660
Normal,434,3,4,4,33261.45,1639,560163104,3565
High paying customer,431,3,4,1,1992781.14,1597,514000356,2982
Normal,422,2,4,2,836083.62,2741,817061221,5427
"Once Loyal, Now Gone",442,4,4,2,1195621.56,984,711717355,1836
"Once Loyal, Now Gone",442,4,4,2,986323.2,1528,300293099,2256
Loyal custommer,412,1,4,2,1634903.6,2415,346371734,7948
Normal,433,3,4,3,368111.92,2172,609976661,4504
Normal,432,3,4,2,1029033.68,882,135526072,4031
High paying customer,421,2,4,1,4856318.09,380,686627757,7267
Normal,423,2,4,3,280239.7,783,994406735,5906
Loyal custommer,412,1,4,2,1358419.74,749,615195596,8903
High paying customer,411,1,4,1,3885833.6,654,737018096,8888
Churn customer,444,4,4,4,11742.88,1475,141764247,46
High paying customer,411,1,4,1,2129290.48,730,501177251,8341
High paying customer,421,2,4,1,3750999.51,2342,541279923,5613
High paying customer,411,1,4,1,3270069.39,1319,132294547,7751
Normal,434,3,4,4,23539.59,637,488316380,2523
"Once Loyal, Now Gone",443,4,4,3,383219.1,2145,483954894,1863
"Once Loyal, Now Gone",443,4,4,3,744988.8,545,425628221,1704
Normal,432,3,4,2,1834377.72,2716,930296790,4348
Loyal custommer,412,1,4,2,1810982.8,1715,993605506,8804
Loyal custommer,412,1,4,2,976744.64,1917,709105527,8938
Normal,433,3,4,3,644497.92,1900,948679578,4224
Loyal custommer,412,1,4,2,1083401.92,1973,381759297,9914
Normal,422,2,4,2,1314947.28,1208,701894891,5151
"Once Loyal, Now Gone",443,4,4,3,758008.44,1688,884192836,1164
Churn customer,444,4,4,4,2799.55,1333,282916247,59
Churn customer,444,4,4,4,203588.64,1532,918528544,1863
High paying customer,431,3,4,1,3342018.27,2627,791411149,5001
Normal,434,3,4,4,153880.35,1407,458209550,3243
Churn customer,444,4,4,4,67170.16,1637,881993854,436
Normal,433,3,4,3,445541.52,1783,968173444,2892
High paying customer,211,1,2,1,1910747.3,167,754895770,9289
Normal,423,2,4,3,301022.8,677,926721513,6344
Churn customer,444,4,4,4,109717.12,2452,563939225,1004
High paying customer,411,1,4,1,6222261.97,655,905509746,9311
"Once Loyal, Now Gone",443,4,4,3,645913.59,2107,174683320,1531
High paying customer,431,3,4,1,2427156.64,1456,474498927,3632
Normal,423,2,4,3,676115.36,2167,929052674,6187
Normal,422,2,4,2,1473017.7,1111,295139396,7161
Normal,424,2,4,4,54403.23,2035,542294442,5831
High paying customer,321,2,3,1,3113738.4,275,284595954,7122
High paying customer,411,1,4,1,4151214,2488,332353007,9495
"Once Loyal, Now Gone",443,4,4,3,617998.29,1076,701475179,949
Normal,424,2,4,4,64600.92,2278,187103450,6924
Normal,423,2,4,3,575577.76,914,244072282,5267
High paying customer,411,1,4,1,6471073.77,2626,157274711,9937
"Once Loyal, Now Gone",443,4,4,3,682971.94,1023,817350471,1022
High paying customer,411,1,4,1,5527470.48,440,863299930,8488
High paying customer,311,1,3,1,6267896.25,310,832180726,9625
"Once Loyal, Now Gone",443,4,4,3,278723.5,1595,523997485,1355
Churn customer,444,4,4,4,77646.24,1489,419000804,504
Loyal custommer,312,1,3,2,1344019.44,342,566432178,8724
Normal,432,3,4,2,1097809.2,1278,155086886,2511
Loyal custommer,412,1,4,2,1436845.86,1753,804132115,9417
Normal,334,3,3,4,241140.9,219,524449384,5082
Churn customer,444,4,4,4,101302.56,1323,962591016,927
Loyal custommer,412,1,4,2,1298109.56,1884,668924319,8426
High paying customer,231,3,2,1,2144028.8,144,658707034,4904
Normal,332,3,3,2,1629444.4,341,649477660,3727
Normal,132,3,1,2,1071178.71,49,722161662,2539
High paying customer,411,1,4,1,6473531.49,1948,931632745,9687
"Once Loyal, Now Gone",443,4,4,3,497533.6,2199,216551101,1138
High paying customer,411,1,4,1,2342704.56,452,290009725,9177
Normal,422,2,4,2,1074165.4,937,392252957,5222
Churn customer,444,4,4,4,64388.76,2707,211344611,422
"Once Loyal, Now Gone",443,4,4,3,564168.8,2645,443877971,2210
High paying customer,411,1,4,1,5875216.62,2756,938557994,9022
Normal,332,3,3,2,1230449.6,347,590479362,4820
High paying customer,311,1,3,1,2410353.76,350,657505834,9442
Normal,422,2,4,2,1521562.9,2176,105799901,7397
Normal,423,2,4,3,479755.1,893,765528905,5870
Churn customer,444,4,4,4,200856.64,555,149137103,1838
Normal,423,2,4,3,669886.4,484,350657260,6130
Churn customer,444,4,4,4,158800.4,843,466412818,772
"Once Loyal, Now Gone",443,4,4,3,564168.8,2654,566241204,2210
Normal,433,3,4,3,303545.22,1909,686750924,3714
"Once Loyal, Now Gone",443,4,4,3,515155.04,1225,302015721,2018
High paying customer,421,2,4,1,4520178.28,1299,716566359,6764
Normal,432,3,4,2,860038.32,1926,812695014,3369
Churn customer,444,4,4,4,13687.11,1476,613784968,1467
High paying customer,431,3,4,1,2104680.8,1827,470211255,4814
Normal,422,2,4,2,1744328.24,2692,222720611,6833
Normal,424,2,4,4,68668.8,395,413245427,7360
Normal,422,2,4,2,1057989.72,1664,854204452,6934
Normal,434,3,4,4,235257.1,1503,243226420,4958
Churn customer,444,4,4,4,237904.12,1402,195259082,356
Churn customer,444,4,4,4,181732.64,2590,172588622,1663
High paying customer,121,2,1,1,3817158.24,80,953111445,5712
Normal,434,3,4,4,152504.3,2540,311921012,3214
"Once Loyal, Now Gone",443,4,4,3,670805.1,2660,301439797,1590
High paying customer,411,1,4,1,6011756.92,1464,230871951,8996
Normal,432,3,4,2,1111489.12,571,750959146,4354
High paying customer,411,1,4,1,3875903.43,1633,841573607,9187
"Once Loyal, Now Gone",443,4,4,3,561113.7,1414,989660298,1330
Normal,434,3,4,4,186953,761,773767793,3940
High paying customer,431,3,4,1,2748757.41,1305,661543309,4221
Normal,422,2,4,2,1119937.2,2008,896243894,7340
Normal,433,3,4,3,545197.92,1832,190611350,4989
High paying customer,421,2,4,1,3353080.29,1103,100317895,5149
"Once Loyal, Now Gone",442,4,4,2,1470432.18,968,602264344,2258
Normal,434,3,4,4,28857.69,2309,528295028,3093
Churn customer,444,4,4,4,76168.16,1728,241826522,697
High paying customer,431,3,4,1,2445944.76,2447,203380811,3756
Normal,424,2,4,4,250536,1149,246843326,5280
Normal,434,3,4,4,218981.75,2482,395562589,4615
High paying customer,121,2,1,1,3190685.6,9,744954001,7298
Loyal custommer,213,1,2,3,399149.4,170,653548610,8412
Normal,133,3,1,3,448375.84,76,461726891,4103
Loyal custommer,413,1,4,3,653431.35,956,863838946,7995
Churn customer,444,4,4,4,116631.9,2216,392676532,567
High paying customer,411,1,4,1,5253311.07,370,649120604,8067
High paying customer,421,2,4,1,2644828.41,1430,666686713,6269
Churn customer,444,4,4,4,170021.67,617,234695279,403
Loyal custommer,412,1,4,2,1522138.08,2403,661866891,9976
Loyal custommer,413,1,4,3,391415.05,531,938149869,8249
High paying customer,411,1,4,1,4299862,1825,918656861,9835
Normal,433,3,4,3,291122.26,2410,461691272,3562
Normal,434,3,4,4,27644.79,1310,544177138,2963
High paying customer,431,3,4,1,2769596.13,2719,515187394,4253
Loyal custommer,413,1,4,3,368212,1352,821056640,7760
Normal,433,3,4,3,594451.68,811,422256362,3896
High paying customer,411,1,4,1,5134986.68,2631,702815854,7684
Normal,432,3,4,2,1223557.04,386,482004821,4793
Loyal custommer,412,1,4,2,1189971.42,2328,989411818,7799
High paying customer,411,1,4,1,5492305.14,473,934534680,8434
Churn customer,444,4,4,4,105595.16,1375,447389304,1292
High paying customer,421,2,4,1,4080481.86,2463,672330081,6266
Normal,422,2,4,2,1085890.3,659,561284053,5279
Loyal custommer,413,1,4,3,701570.32,1426,738672912,8584
High paying customer,411,1,4,1,5216515.62,2345,500229251,7806
High paying customer,421,2,4,1,2631327.93,883,360220944,6237
Normal,422,2,4,2,896865.24,2634,115121543,5878
High paying customer,421,2,4,1,4683904.43,806,512662255,7009
Normal,432,3,4,2,990445.5,2536,514851367,4815
Normal,423,2,4,3,599728.64,1114,208590734,5488
Loyal custommer,412,1,4,2,1092362.88,1761,261187350,9996
Normal,344,4,3,4,37970.1,305,130781781,90
High paying customer,431,3,4,1,2106013.14,1102,476187217,3234
Churn customer,444,4,4,4,162151.29,1905,189108455,249
High paying customer,411,1,4,1,3582854,1868,374724614,8195
Normal,424,2,4,4,64899.48,978,774926936,6956
Normal,434,3,4,4,248949.58,696,228114640,3046
High paying customer,411,1,4,1,6310876.11,2192,857457864,9691
High paying customer,431,3,4,1,2527397.14,1936,871022546,3782
Normal,422,2,4,2,788686.02,1355,480688178,5169
Loyal custommer,113,1,1,3,416089.05,100,959170663,8769
High paying customer,411,1,4,1,3421106.01,2027,561462581,8109
Normal,434,3,4,4,30210.54,462,610107553,3238
Normal,433,3,4,3,771224.36,736,560607278,5006
"Once Loyal, Now Gone",443,4,4,3,581786.31,2625,194350135,1379
Churn customer,444,4,4,4,13705.77,408,118688666,1469
High paying customer,421,2,4,1,4890587.1,1418,296289527,7510
Churn customer,444,4,4,4,8480.97,1763,382134377,909
Normal,422,2,4,2,1330008.8,2470,873291480,5210
High paying customer,411,1,4,1,5786000.85,2169,272639310,8885
Normal,422,2,4,2,802570.8,565,583451974,5260
Normal,422,2,4,2,1460058.6,2729,748028457,7098
Normal,423,2,4,3,280856.55,755,926280772,5919
Churn customer,444,4,4,4,85139.64,2419,307721745,558
Normal,344,4,3,4,173645.92,349,364327943,1589
"Once Loyal, Now Gone",442,4,4,2,1615208.59,1429,953370654,2417
Normal,324,2,3,4,69685.77,215,480053889,7469
Churn customer,444,4,4,4,50223.56,1020,446912944,326
Normal,434,3,4,4,254343.76,1624,382581126,3112
Normal,424,2,4,4,51837.48,1946,850279843,5556
Normal,433,3,4,3,470961.42,450,634471452,3057
High paying customer,421,2,4,1,3700175.22,2596,340213811,5682
Loyal custommer,312,1,3,2,1709161.3,261,395980584,8309
Loyal custommer,414,1,4,4,90556.98,2663,597254407,9706
High paying customer,411,1,4,1,2111931.44,904,431260001,8273
High paying customer,431,3,4,1,2828205.03,1115,904952275,4343
Normal,423,2,4,3,649560.32,621,522323358,5944
Loyal custommer,413,1,4,3,413858.9,736,639559495,8722
High paying customer,411,1,4,1,2359297.76,471,285481727,9242
"Once Loyal, Now Gone",443,4,4,3,309372.8,1384,220607459,1504
Normal,433,3,4,3,453010.02,1992,321382129,2969
Churn customer,444,4,4,4,105481.35,1611,670761954,2223
Normal,422,2,4,2,1048682.34,1479,400267398,6873
Normal,422,2,4,2,843309.66,2274,246573817,5527
Normal,323,2,3,3,588144.96,305,747955071,5382
Normal,433,3,4,3,310492.27,1619,431346261,3799
Normal,423,2,4,3,713598.4,2046,201531589,6530
High paying customer,411,1,4,1,4166163.75,2468,970427358,9875
Churn customer,444,4,4,4,87002.8,2226,797984492,199
New customer,143,4,1,3,415085.28,56,723577868,1626
Loyal custommer,314,1,3,4,73240.5,344,531521403,7850
Churn customer,444,4,4,4,3489.42,1207,601886260,374
Normal,422,2,4,2,819600,2636,905469834,7500
High paying customer,411,1,4,1,1941602.3,657,373782622,9439
High paying customer,411,1,4,1,1893674.2,2156,515204131,9206
Normal,423,2,4,3,521273.94,2345,762117564,6378
Normal,433,3,4,3,681342.32,1976,176782310,2669
Churn customer,444,4,4,4,6139.14,2652,559511220,658
Normal,422,2,4,2,1152214.74,608,818926751,7479
Normal,223,2,2,3,259361.7,154,650362145,5466
High paying customer,411,1,4,1,3323227.53,857,248879659,7877
Normal,434,3,4,4,239954.65,2025,899784409,5057
Churn customer,444,4,4,4,216851.2,2707,161399304,496
Loyal custommer,413,1,4,3,364463.45,487,324169051,7681
High paying customer,421,2,4,1,2568550,1610,132186830,5875
Normal,423,2,4,3,321568.65,878,508876693,6777
High paying customer,411,1,4,1,6115513.11,1004,482966554,9391
Normal,432,3,4,2,897564.48,1934,801949441,3516
Loyal custommer,414,1,4,4,91592.61,1433,413693034,9817
Normal,333,3,3,3,335380.32,308,742405259,3069
Loyal custommer,412,1,4,2,1680363.3,2677,267432820,8169
High paying customer,421,2,4,1,2601777.2,2765,100624740,5951
Normal,124,2,1,4,63677.25,40,747351682,6825
Normal,434,3,4,4,213560.49,2377,854054677,2613
New customer,143,4,1,3,323063.82,16,565598762,2097
Loyal custommer,414,1,4,4,89857.23,2314,219452178,9631
"Once Loyal, Now Gone",443,4,4,3,363273.48,2058,245650708,2358
High paying customer,431,3,4,1,3175619.04,2474,840781390,4752
High paying customer,421,2,4,1,2944370.31,765,136482226,6979
Normal,432,3,4,2,1001347.6,718,615080583,4868
High paying customer,431,3,4,1,3258484.52,1277,545636689,4876
New customer,143,4,1,3,402966.3,94,166067636,1959
High paying customer,431,3,4,1,2568829.88,2358,128766906,3844
Loyal custommer,412,1,4,2,1778687.9,684,822107207,8647
Churn customer,444,4,4,4,100601.18,1322,727426946,653
Loyal custommer,412,1,4,2,1710395.5,1687,674060428,8315
Normal,432,3,4,2,1008356,1093,256098020,3950
Loyal custommer,412,1,4,2,1003081.12,1660,142572343,9179
High paying customer,421,2,4,1,2662125.9,2213,909487140,6310
Normal,434,3,4,4,135659.55,1437,742843854,2859
Churn customer,444,4,4,4,46406.1,1790,599624192,978
Loyal custommer,414,1,4,4,78073.44,1190,384356105,8368
Normal,234,3,2,4,23856.81,117,299685847,2557
High paying customer,421,2,4,1,2881086.81,1081,108231055,6829
High paying customer,421,2,4,1,4164658.64,2450,563585174,6232
"Once Loyal, Now Gone",443,4,4,3,657986,2259,790149009,1505
Normal,434,3,4,4,36582.93,737,908059775,3921
Normal,434,3,4,4,224675.75,419,486803185,4735
Normal,432,3,4,2,1050477.2,2421,254037225,4115
High paying customer,411,1,4,1,3248974.89,2069,436969029,7701
High paying customer,411,1,4,1,5558001.59,2641,578089272,8317
High paying customer,421,2,4,1,4400557.95,1890,217211568,6585
Loyal custommer,412,1,4,2,1407492.16,1140,837450730,9136
New customer,143,4,1,3,441296.94,48,333304440,1046
Churn customer,444,4,4,4,158147.55,1681,215540015,1935
"Once Loyal, Now Gone",443,4,4,3,269752.4,1606,245813786,617
Normal,432,3,4,2,1151337.81,2459,257851111,2729
High paying customer,421,2,4,1,4461439.71,2085,278275811,6851
Loyal custommer,314,1,3,4,85705.38,250,374964511,9186
Normal,432,3,4,2,1306523.04,2481,646981704,5118
"Once Loyal, Now Gone",443,4,4,3,547981.4,2299,364055001,820
Churn customer,444,4,4,4,95869.29,1354,933699119,1173
Churn customer,444,4,4,4,12520.86,2743,987835538,1342
Normal,343,4,3,3,318764.79,267,690220630,477
Normal,332,3,3,2,1704013.71,285,980917155,4039
"Once Loyal, Now Gone",443,4,4,3,402966.81,2588,151532208,603
Normal,434,3,4,4,25237.65,1666,291305768,2705
Loyal custommer,414,1,4,4,91676.58,705,356853806,9826
Loyal custommer,112,1,1,2,1038924.96,27,380811727,9507
Loyal custommer,413,1,4,3,473408.65,687,978673112,9977
High paying customer,411,1,4,1,6672675.95,598,821131742,9985
High paying customer,411,1,4,1,4202868.18,995,429204356,9962
Normal,433,3,4,3,744839.7,2096,174487626,3621
Normal,423,2,4,3,423116.21,2238,438683927,5177
Loyal custommer,414,1,4,4,84287.22,776,516994559,9034
Normal,433,3,4,3,308203.83,808,120419871,3771
"Once Loyal, Now Gone",443,4,4,3,377447,2213,996861922,2450
Normal,422,2,4,2,1255592.8,2046,866603553,6104
Normal,432,3,4,2,1736833.73,2528,835265910,2599
Loyal custommer,413,1,4,3,362897.6,1813,103435266,7648
Loyal custommer,412,1,4,2,1507490.4,1784,525749719,9880
Normal,423,2,4,3,672181.28,963,345689809,6151
"Once Loyal, Now Gone",443,4,4,3,707826.8,897,637575519,1619
Normal,434,3,4,4,157486.55,2466,880651891,3319
"Once Loyal, Now Gone",443,4,4,3,767417.91,1266,661940705,1819
Normal,424,2,4,4,52527.9,1333,334908187,5630
High paying customer,431,3,4,1,2444642.34,653,252481544,3754
High paying customer,411,1,4,1,2303902,891,108407437,9025
High paying customer,421,2,4,1,1873755.2,406,103772151,7340
High paying customer,431,3,4,1,1850667.6,1872,780899035,4233
"Once Loyal, Now Gone",442,4,4,2,950948.21,711,582492816,1423
Normal,433,3,4,3,767672.4,839,523836553,3732
Churn customer,444,4,4,4,3536.07,1802,922240722,379
High paying customer,321,2,3,1,3744316.81,234,519213283,5603
Churn customer,444,4,4,4,78869.45,1117,778691470,965
Normal,422,2,4,2,946236.52,789,399115979,6142
Churn customer,444,4,4,4,53333.8,1754,877062451,1124
High paying customer,431,3,4,1,3404835.65,1627,723893725,5095
Normal,433,3,4,3,470122.56,1837,141846215,4302
Churn customer,444,4,4,4,1302.42,2645,152746713,2
Normal,422,2,4,2,901405.06,1788,247960412,5851
Loyal custommer,412,1,4,2,1412576.14,707,972452533,9169
Normal,433,3,4,3,701897.36,2760,193313300,4556
Churn customer,444,4,4,4,93523.95,1659,768050181,1971
High paying customer,421,2,4,1,2482400.76,1512,785500419,5884
High paying customer,421,2,4,1,2831303.79,1962,631172120,6711
Normal,432,3,4,2,1724754,2722,416004884,3945
Churn customer,444,4,4,4,78007.8,1384,854625880,1644
Normal,433,3,4,3,650906.28,791,861021554,4266
Normal,432,3,4,2,1117360.56,2590,748357188,4377
Loyal custommer,413,1,4,3,451961.25,891,293390166,9525
Normal,422,2,4,2,1102085.34,946,354547107,7223
High paying customer,421,2,4,1,2203953.36,1514,434662759,5224
Normal,423,2,4,3,296704.85,1493,291047418,6253
Normal,432,3,4,2,1113985.6,1510,689349019,2548
High paying customer,431,3,4,1,2524055.79,449,636400067,3777
"Once Loyal, Now Gone",442,4,4,2,948161.76,1696,740338456,1456
Normal,433,3,4,3,536346.24,1965,109914195,4908
High paying customer,421,2,4,1,4068427.76,1496,892319715,6088
"Once Loyal, Now Gone",443,4,4,3,421273.6,1221,966379582,2048
Loyal custommer,412,1,4,2,1721091.9,2757,687374913,8367
Loyal custommer,413,1,4,3,452103.6,681,123108947,9528
"Once Loyal, Now Gone",442,4,4,2,1069828.4,2126,606793200,2447
Normal,244,4,2,4,186910.5,140,476991450,1225
Normal,422,2,4,2,1066991.94,2252,570413863,6993
Normal,422,2,4,2,847276.74,1413,519686210,5553
Normal,344,4,3,4,151125.76,305,348982703,592
Normal,423,2,4,3,568146.72,992,628159463,5199
Churn customer,444,4,4,4,215900.7,2498,178501498,1415
High paying customer,431,3,4,1,2367799.56,1543,897785842,3636
"Once Loyal, Now Gone",442,4,4,2,1029804.07,2648,793731153,1541
Normal,222,2,2,2,1709610.16,152,169800841,6697
Normal,434,3,4,4,30956.94,2238,365989625,3318
Loyal custommer,312,1,3,2,1397324.2,185,315894544,9070
Normal,433,3,4,3,502445.94,482,406270396,3293
Loyal custommer,412,1,4,2,1491774.66,703,938290202,9777
Normal,433,3,4,3,401212.57,2428,328383767,4909
"Once Loyal, Now Gone",442,4,4,2,1305799.58,602,863480603,1954
Normal,432,3,4,2,825885.5,1234,164655292,4015
Normal,243,4,2,3,563223.15,162,691372478,1335
"Once Loyal, Now Gone",443,4,4,3,515758.32,928,321881663,792
"Once Loyal, Now Gone",443,4,4,3,400497.9,1820,639097297,1947
"Once Loyal, Now Gone",443,4,4,3,336467.04,1379,103281629,2184
Normal,432,3,4,2,839105.36,1279,608451879,3287
Loyal custommer,413,1,4,3,726252.78,619,214346969,8886
Normal,342,4,3,2,913391.85,261,208951222,2165
Normal,433,3,4,3,569733.72,1933,585677134,3734
High paying customer,421,2,4,1,4488101.32,920,569601905,6716
High paying customer,421,2,4,1,3006187.2,1855,328322827,6876
Normal,433,3,4,3,669964.9,1642,460980594,3257
Churn customer,444,4,4,4,86061.69,555,396462953,1053
Normal,434,3,4,4,34054.5,1226,391673171,3650
Loyal custommer,412,1,4,2,1393626.76,2735,325322616,9046
High paying customer,421,2,4,1,2992634,2165,346672141,6845
High paying customer,431,3,4,1,2996217.21,584,510558974,4601
Loyal custommer,413,1,4,3,382921.5,1901,562341058,8070
Normal,423,2,4,3,320951.8,1825,858360373,6764
Loyal custommer,413,1,4,3,767444.7,1389,466948831,9390
High paying customer,411,1,4,1,2216851.52,635,140745866,8684
"Once Loyal, Now Gone",443,4,4,3,440358,525,645956456,1725
Normal,344,4,3,4,187953.2,351,614054477,1220
Normal,322,2,3,2,1117495.92,338,559466159,7324
"Once Loyal, Now Gone",443,4,4,3,537756,2170,198134410,1230
"Once Loyal, Now Gone",443,4,4,3,460405.47,1403,446914231,707
Normal,432,3,4,2,1012044,1665,715309798,4920
High paying customer,411,1,4,1,5911516.42,1648,167172276,8846
